,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
901,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,
1325,Kazimierz Piotr Adach,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
1386,Stefan Adamczak,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pole Vault,
1388,Dariusz Adamczuk,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
1389,Adam Eucharyst Adamczyk,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,
1390,Adam Eucharyst Adamczyk,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Middleweight,
1391,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
1392,Edward Adamczyk,M,26.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,
1415,Tomasz Adamiec,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
1416,Tomasz Adamiec,M,30.0,Poland,POL,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,
1531,Antoni Adamski,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
1535,Jerzy Adamski,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
1536,Tadeusz Adamski,M,29.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,
1547,Dariusz Adamus,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,
1674,Alfred Ader,M,31.0,Poland,POL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",
3964,Spirydion Jan Albaski,M,28.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
4089,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",
4090,Piotr Albiski,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
4875,Edward Alknin,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,
5460,Henryk Alszer,M,34.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
5518,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
5519,Bernard Aluchna,M,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5981,Krystyna Ambros (-urek),F,19.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,
6005,Ewa Ambroziak,F,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,
6006,Zdzisaw Stanisaw Ambroziak,M,24.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,
6007,Zdzisaw Stanisaw Ambroziak,M,28.0,Poland,POL,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
6542,Zygmunt Jzef Anczok,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
7335,Maria Andrejczyk,F,20.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,
7598,Zbigniew Andruszkiewicz,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,
7609,Leszek Andrzejczak,M,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
7610,Bohdan Andrzejewski,M,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",
7611,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Individual",
7612,Bohdan Andrzejewski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
7613,Bohdan Andrzejewski,M,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",
7614,Robert Sebastian Andrzejuk,M,33.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Team",Silver
7964,Emilia Ankiewicz,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
8141,Zdzisaw Antczak,M,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,
8142,Zdzisaw Antczak,M,28.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze
8219,Aleksy Antkiewicz,M,24.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Featherweight,Bronze
8220,Aleksy Antkiewicz,M,28.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Lightweight,Silver
8275,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",
8276,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
8277,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
8278,Micha Antoniewicz (-Woysym),M,30.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
8319,Izabella Antonowicz-Szuszkiewicz,F,22.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8320,Izabella Antonowicz-Szuszkiewicz,F,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8321,Izabella Antonowicz-Szuszkiewicz,F,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
8575,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,
8576,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,
8577,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,
8578,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,
8579,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,
8580,Elbieta Rozalia Apostolska (-Kamiska),F,20.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,
8795,Krystian Aranowski,M,24.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,
8796,Krystian Aranowski,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
8993,Eugeniusz Arct,M,36.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",
9483,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,
9484,"Maria Arndt (-Staworzyska, -Blank)",F,22.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,
10496,Halina Aszkieowicz (-Wojno),F,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
10933,Kamila Anna Augustyn,F,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
10934,Kamila Anna Augustyn,F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Singles,
10935,Rafa Augustyn,M,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
10936,Rafa Augustyn,M,28.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,
10937,Rafa Augustyn,M,32.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,
10938,Benedykt Stanisaw Augustyniak,M,28.0,Poland,POL,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,
11874,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
11875,Marian Babirecki,M,27.0,Poland,POL,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
11939,Grayna Bacewicz,F,39.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",
12061,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
12062,Arkadiusz Stefan Bachur,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
12260,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Bronze
12261,Andrzej Stanisaw Badeski,M,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
12262,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,
12263,Andrzej Stanisaw Badeski,M,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
12264,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
12265,Andrzej Stanisaw Badeski,M,29.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
12790,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Individual,
12791,Marek Bajan,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Modern Pentathlon,Modern Pentathlon Men's Team,
12844,Marek Antoni Bajor,M,22.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
12848,Boena Bk (-Siemieniec),F,26.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,
12849,Boena Bk (-Siemieniec),F,26.0,Poland-1,POL,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,
12852,Krystian Bk,M,23.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
12975,Micha Bkiewicz,M,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,
13067,Barbara Bakulin (-Kobzda),F,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,
13090,Jan Balachowski,M,19.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,
13091,Jan Balachowski,M,19.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,
13092,Jan Balachowski,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
13237,Piotr Balcerzak,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
13238,Piotr Balcerzak,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
13621,Halina Balon,F,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Individual",
13622,Halina Balon,F,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",
13623,Halina Balon,F,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",
13624,Halina Balon,F,24.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",
13749,ukasz Banak,M,28.0,Poland,POL,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
13752,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",
13753,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
13754,Bolesaw Bana,M,36.0,Poland,POL,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",
13755,Justyna Banasiak,F,18.0,Poland,POL,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
13757,Piotr Banaszak,M,28.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,
13794,Leszek Bandach,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",
13795,Leszek Bandach,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",
13810,Jerzy Bandura,M,32.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",
13905,Hubert Jzef Banisz,M,24.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
14193,Radosaw Baran,M,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
14194,Robert Baran,M,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
14195,Witold Stanisaw Baran,M,25.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",
14196,Jzef Baran-Bilewski,M,29.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw,
14197,Barbara Bronisawa Baran-Wojnar,F,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Long Jump,
14231,"Katarzyna ""Kasia"" Baranowska",F,20.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
14232,"Katarzyna ""Kasia"" Baranowska",F,20.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,
14233,"Katarzyna ""Kasia"" Baranowska",F,20.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,
14234,"Katarzyna ""Kasia"" Baranowska",F,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,
14235,Dariusz Baranowski,M,20.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,
14236,Dariusz Baranowski,M,24.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
14237,Dariusz Baranowski,M,24.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Individual Time Trial,
14238,Zbigniew Mateusz Baranowski,M,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
14239,Zenon Franciszek Baranowski,M,26.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,
14240,Anna Baraska (-Werbliska),F,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
14273,Pawe Baraszkiewicz,M,19.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
14274,Pawe Baraszkiewicz,M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
14275,Pawe Baraszkiewicz,M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
14276,Pawe Baraszkiewicz,M,27.0,Poland,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
14277,Pawe Baraszkiewicz,M,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",
14278,Pawe Baraszkiewicz,M,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
14450,Kazimierz Zygfryd Barburski,M,26.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
14451,Kazimierz Zygfryd Barburski,M,30.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",
14479,Edward Barcik,M,22.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
14676,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
14677,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,
14678,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
14679,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,
14680,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
14681,Magorzata Barlak-Kamasiska,F,20.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,
15243,"Jolanta Bartczak (-Maolepszy, -Skrzyszowska)",F,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump,
15347,Beata Bartkw-Kwiatkowska,F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Pistol, 10 metres",
15348,Beata Bartkw-Kwiatkowska,F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
15409,Zbigniew Bartman,M,25.0,Poland,POL,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,
15410,Bartomiej Bartnicki,M,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
15411,Bartomiej Bartnicki,M,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
15413,Wojciech Stanisaw Bartnik,M,24.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,Bronze
15414,Wojciech Stanisaw Bartnik,M,28.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Heavyweight,
15415,Wojciech Stanisaw Bartnik,M,32.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,
15484,Jan Bartosik,M,32.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Three Person Keelboat,
15490,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,
15491,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,
15492,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
15493,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,
15494,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
15495,Joanna Danuta Bartosz (-Bronarska),F,18.0,Poland,POL,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,
15496,Micha Bartoszak,M,34.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,
15498,Wodzimierz Joachim Bartoszewicz,M,37.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
15533,Edmund Ludwik Bartomiejczyk,M,46.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
15542,Sawomir Barul,M,31.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Mountainbike, Cross-Country",
15576,Ginter Helmut Barysz (Barisch),M,19.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
15597,Paulina Barzycka,F,18.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,
15598,Paulina Barzycka,F,18.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,
15599,Paulina Barzycka,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,
15600,Paulina Barzycka,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
15682,Andrzej Jzef Basik,M,28.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Heavyweight,
15767,Piotr Basta,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,
15768,Piotr Basta,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,
15769,Piotr Basta,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,
15807,Waldemar Romuald Baszanowski,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,
15808,Waldemar Romuald Baszanowski,M,29.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,Gold
15809,Waldemar Romuald Baszanowski,M,33.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight,Gold
15810,Waldemar Romuald Baszanowski,M,37.0,Poland,POL,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,
15985,Mieczysaw Jzef Batsch,M,24.0,Poland,POL,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,
16323,Pawe Zbigniew Baumann,M,21.0,Poland,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
16324,Pawe Zbigniew Baumann,M,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
16361,Iga Baumgart,F,23.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,
16362,Iga Baumgart,F,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,
16682,Antoni Bazaniak,M,20.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",
16702,Wawrzyniec Bazarnik,M,21.0,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Bantamweight,
16997,Bronisaw Bebel,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,
16998,Bronisaw Bebel,M,27.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
16999,Jolanta Krystyna Bebel-Rzymowska (-Kolik),F,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",
17000,Jolanta Krystyna Bebel-Rzymowska (-Kolik),F,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",
17015,Leszek Bebo,M,26.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,
17016,Leszek Bebo,M,30.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,
17142,Krzysztof Juliusz Beck,M,26.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middleweight,
17143,Krzysztof Juliusz Beck,M,30.0,Poland,POL,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,
17441,Eugeniusz Bedeniczuk,M,31.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,
17469,Agnieszka Bednarek (-Kasza),F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
17470,Jacek Bednarek,M,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,
17471,Sylwester Bednarek,M,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
17476,Bartosz Bednorz,M,22.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
17594,Zenon Begier,M,24.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,
17595,Zenon Begier,M,28.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Discus Throw,
17827,Monika Joanna Bejnar,F,23.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,
17828,Monika Joanna Bejnar,F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,
17829,Monika Joanna Bejnar,F,27.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,
17831,Andrzej Bek,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,
