,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
234023,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Individual All-Around,
234024,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Team All-Around,
234025,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Floor Exercise,
234026,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Horse Vault,
234027,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Parallel Bars,
234028,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Horizontal Bar,
234029,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Rings,
234030,Andrzej Szajna,M,26.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Men's Pommelled Horse,
234031,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Individual All-Around,
234032,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Floor Exercise,
234033,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horse Vault,
234034,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Parallel Bars,
234035,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horizontal Bar,
234036,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Rings,
234037,Andrzej Szajna,M,30.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Pommelled Horse,
234076,Tadeusz Szamrej,M,39.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,
234106,Andrzej Szarmach,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Silver
234125,Jzef Franciszek Szawara,M,,Poland,POL,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,
234126,Karolina Paulina Szczepaniak,F,15.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,
234127,Karolina Paulina Szczepaniak,F,15.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
234128,Karolina Paulina Szczepaniak,F,19.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
234129,Karolina Paulina Szczepaniak,F,19.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,
234133,Wadysaw Szczepaniak,M,26.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
234137,Aneta Maria Szczepaska,F,22.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Middleweight,Silver
234138,Magdalena Szczepaska,F,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,
234139,Bernard Szczepaski,M,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",
234140,Henryk Szczepaski,M,26.0,Poland,POL,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,
234141,Jan Antoni Szczepaski,M,32.0,Poland,POL,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,Gold
234142,Piotr Szczepaski,M,23.0,Poland,POL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
234143,Piotr Szczepaski,M,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
234144,Zbigniew Szczepkowski,M,24.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
234145,Kazimierz Wiesaw Szczerba,M,22.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,Bronze
234146,Kazimierz Wiesaw Szczerba,M,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Bronze
234147,Robert Szczerbaniuk,M,27.0,Poland,POL,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,
234148,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,
234149,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,
234150,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
234151,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,
234152,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,
234153,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,
234154,Lidia Szczerbiska (-Krl),F,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,
234155,Janusz Szczerkowski,M,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,
234156,Zofia Antonina Szczeniewska (-Bryszewska),F,21.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
234157,Zofia Antonina Szczeniewska (-Bryszewska),F,25.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
234226,Stefan Szelestowski,M,23.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 5,000 metres",
234227,Stefan Szelestowski,M,23.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 3,000 metres, Team",
234228,Stefan Szelestowski,M,27.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,
234233,Maria Szeliga (-Palczak),F,27.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Archery,Archery Women's Individual,
234243,Kazimierz Wodzimierz Szempliski,M,37.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Team",
234244,Aleksander Szenajch,M,19.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,
234245,Aleksander Szenajch,M,19.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,
234303,Irena Szewiska-Kirszenstein,F,18.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,Silver
234304,Irena Szewiska-Kirszenstein,F,18.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
234305,Irena Szewiska-Kirszenstein,F,18.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Long Jump,Silver
234306,Irena Szewiska-Kirszenstein,F,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 100 metres,Bronze
234307,Irena Szewiska-Kirszenstein,F,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,Gold
234308,Irena Szewiska-Kirszenstein,F,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,
234309,Irena Szewiska-Kirszenstein,F,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Long Jump,
234310,Irena Szewiska-Kirszenstein,F,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,
234311,Irena Szewiska-Kirszenstein,F,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,Bronze
234312,Irena Szewiska-Kirszenstein,F,30.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 400 metres,Gold
234313,Irena Szewiska-Kirszenstein,F,34.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,
234395,Edward Ignacy Szklarczyk,M,23.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",
234398,Zdzisaw Szlapkin,M,27.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 20 kilometres Walk,
234399,Henryk Szlzak,M,23.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
234401,Matylda Szlzak-Kowal,F,23.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",
234402,Matylda Szlzak-Kowal,F,27.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",
234404,Sawomir Szmal,M,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
234405,Sawomir Szmal,M,39.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
234406,Edward Jan Szmidt (-Schmidt),M,25.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
234407,Edward Jan Szmidt (-Schmidt),M,25.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,
234408,Jzef Szmidt (-Schmidt),M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,
234409,Jzef Szmidt (-Schmidt),M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Triple Jump,Gold
234410,Jzef Szmidt (-Schmidt),M,29.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump,Gold
234411,Jzef Szmidt (-Schmidt),M,33.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,
234415,Tomasz Szmidt,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,
234416,Sylwester Szmyd,M,26.0,Poland,POL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",
234418,Rafa Jerzy Sznajder,M,23.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Individual",
