,Index,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1234,106179,Miosz Jankowski,M,26.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,
1235,106183,Wojciech Jankowski,M,25.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,
1236,106184,Wojciech Jankowski,M,29.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Fours,Bronze
1237,106185,Wojciech Jankowski,M,33.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,
1238,106222,"Jolanta Zofia Janota (-Marlec, -Gurbiel)",F,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,
1239,106223,"Jolanta Zofia Janota (-Marlec, -Gurbiel)",F,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,
1240,106224,"Jolanta Zofia Janota (-Marlec, -Gurbiel)",F,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,
1241,106242,Jerzy Janowicz,M,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,
1242,106243,Wioletta Magdalena Janowska-Frankiewicz,F,27.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 1,500 metres",
1243,106244,Wioletta Magdalena Janowska-Frankiewicz,F,31.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",
1244,106245,Jarosaw Janowski,M,25.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,
1245,106251,Klaudia Anna Jans-Ignacik,F,23.0,Poland-1,POL,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,
1246,106252,Klaudia Anna Jans-Ignacik,F,27.0,Poland-2,POL,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,
1247,106253,Klaudia Anna Jans-Ignacik,F,31.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
1248,106426,Jolanta Januchta,F,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 800 metres,
1249,106427,Jolanta Januchta,F,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,
1250,106451,Ewald Stefan Janusz,M,27.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
1251,106452,Pawe Januszewski,M,24.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,
1252,106453,Pawe Januszewski,M,24.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
1253,106454,Pawe Januszewski,M,28.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,
1254,106455,Zbigniew Januszkiewicz,M,17.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,
1255,106581,Bogusaw Jarecki,M,30.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
1256,106582,Bogusaw Jarecki,M,30.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
1257,106583,Bogusaw Jarecki,M,34.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
1258,106584,Bogusaw Jarecki,M,34.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
1259,106585,Bogusaw Jarecki,M,38.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
1260,106588,Zbigniew Jaremski,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
1261,106589,Zbigniew Jaremski,M,23.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
1262,106590,Zbigniew Jaremski,M,27.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,
1263,106591,Zbigniew Jaremski,M,27.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1264,106600,Zyta Jarka,F,26.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,
1265,106601,Hanna Jarkiewicz (-Widun),F,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,
1266,106612,Aleksandra Jarmoliska,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Skeet,
1267,106622,Jerzy Mieczysaw Jarnuszkiewicz,M,29.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",
1268,106623,Wadysaw Jarocki,M,48.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
1269,106624,Wadysaw Jarocki,M,48.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
1270,106633,Pawe Krzysztof Jarosiski,M,25.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,
1271,106634,Jakub Wadysaw Jarosz,M,25.0,Poland,POL,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,
1272,106635,Maciej Krzysztof Jarosz,M,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,
1273,106639,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,
1274,106640,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,
1275,106641,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,
1276,106642,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,
1277,106643,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,
1278,106644,Agata Jadwiga Jaroszek-Karczmarek,F,16.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,
1279,106645,Agata Jadwiga Jaroszek-Karczmarek,F,24.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Long Jump,
1280,106646,Agata Jadwiga Jaroszek-Karczmarek,F,28.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,
1281,106647,Agata Jadwiga Jaroszek-Karczmarek,F,32.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,
1282,106764,"Janusz ""Jan"" Jarzembowski",M,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,
1283,106765,"Janusz ""Jan"" Jarzembowski",M,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
1284,106766,"Janusz ""Jan"" Jarzembowski",M,22.0,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,
1285,106767,"Janusz ""Jan"" Jarzembowski",M,26.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,
1286,106768,Mirosaw Zenon Jarzembowski,M,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Fours,
1287,106769,Karolina Jarzyska (-Nadolska),F,30.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,
1288,106820,Edyta Jasiska,F,29.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,
1289,106821,Magorzata Jasiska,F,32.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
1290,106827,Kazimierz Jasiski,M,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",
1291,106828,Stanisaw Jasiski,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
1292,106829,Stanisaw Jasiski,M,20.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
1293,106831,Zbigniew Jasiukiewicz,M,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,
1294,106840,Jan Jasklski,M,20.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Triple Jump,
1295,106841,Jan Jasklski,M,24.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump,
1296,106842,Jan Jasklski,M,28.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,
1297,106843,Norbert Stanisaw Jaskot,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",
1298,106844,Norbert Stanisaw Jaskot,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Individual",
1299,106845,Norbert Stanisaw Jaskot,M,25.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Team",
1300,106846,Norbert Stanisaw Jaskot,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Individual",
1301,106847,Norbert Stanisaw Jaskot,M,29.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Team",
1302,106858,Marek Jaskka,M,32.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,
1303,106859,Marek Jaskka,M,36.0,Poland,POL,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance,
1304,106860,Zenon Wadysaw Jaskua,M,26.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1305,106861,Stanisaw Jaskuka,M,21.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,
1306,106881,Wojciech Jastrzbowski,M,48.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
1307,106882,Wojciech Jastrzbowski,M,48.0,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
1308,106883,Bartomiej Jaszka,M,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
1309,106959,Daniela Jaworska (Tarkowska-),F,22.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Javelin Throw,
1310,106960,Daniela Jaworska (Tarkowska-),F,26.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Javelin Throw,
1311,106963,Jzef Jaworski,M,20.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 800 metres,
1312,106964,Jzef Jaworski,M,20.0,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",
1313,106965,Jzef Jaworski,M,24.0,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 1,500 metres",
1314,107025,Marcin Stanisaw Jaocha,M,21.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
1315,107127,Ryszard Grzegorz Jedliski,M,26.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
1316,107128,Mariusz Jdra,M,27.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,
1317,107129,Daniel Jdraszko,M,24.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
1318,107130,Daniel Jdraszko,M,24.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
1319,107131,Daniel Jdraszko,M,28.0,Poland,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
1320,107132,Daniel Jdraszko,M,32.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",
1321,107133,Danuta Jdrejek (-Panasiuk),F,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,
1322,107134,Tomasz Jdrusik,M,19.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,
1323,107135,Tomasz Jdrusik,M,27.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
1324,107136,Dorota Jdrusiska (Dydo-),F,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,
1325,107137,Marcin Jdrusiski,M,22.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,
1326,107138,Marcin Jdrusiski,M,22.0,Poland,POL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,
1327,107139,Marcin Jdrusiski,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,
1328,107140,Marcin Jdrusiski,M,26.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
1329,107141,Otylia Jdrzejczak,F,16.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,
1330,107142,Otylia Jdrzejczak,F,16.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,
1331,107143,Otylia Jdrzejczak,F,16.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
1332,107144,Otylia Jdrzejczak,F,20.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,Silver
1333,107145,Otylia Jdrzejczak,F,20.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,Silver
1334,107146,Otylia Jdrzejczak,F,20.0,Poland,POL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,Gold
1335,107147,Otylia Jdrzejczak,F,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,
1336,107148,Otylia Jdrzejczak,F,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,
1337,107149,Otylia Jdrzejczak,F,24.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Butterfly,
1338,107150,Otylia Jdrzejczak,F,28.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
1339,107151,Otylia Jdrzejczak,F,28.0,Poland,POL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,
1340,107152,Aleksander Jdrzejewski,M,32.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
1341,107153,Wadysaw Jdrzejewski,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Heavyweight,
1342,107154,Wadysaw Jdrzejewski,M,29.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Heavyweight,
1343,107155,Cezary Wiesaw Jdrzycki,M,23.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,
1344,107337,Micha Jeliski,M,24.0,Poland,POL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,
1345,107338,Micha Jeliski,M,28.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
1346,107339,Micha Jeliski,M,32.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,
1347,107350,Jakub Bogdan Jelonek,M,23.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
1348,107351,Jakub Bogdan Jelonek,M,31.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,
1349,107750,Leon Jensz,M,21.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed One Person Dinghy,
1350,108140,Agnieszka Jerzyk,F,24.0,Poland,POL,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,
1351,108141,Agnieszka Jerzyk,F,28.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,
1352,108143,Marta Jeschke,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,
1353,108144,Marta Jeschke,F,22.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,
1354,108145,Marta Jeschke,F,26.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,
1355,108146,Marta Jeschke,F,26.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,
1356,108154,"Celina Jesionowska (-Gerwin, -Orzechowska)",F,26.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 200 metres,
1357,108155,"Celina Jesionowska (-Gerwin, -Orzechowska)",F,26.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1358,108258,Jerzy Je,M,18.0,Poland-2,POL,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
1359,108277,Alfons Jeewski,M,34.0,Poland,POL,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
1360,108278,Alfons Jeewski,M,34.0,Poland,POL,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",
1361,108289,Jerzy Boeniec-Jeowicki,M,37.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",
1362,108787,Micha Teodor Joachimowski,M,21.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Triple Jump,
1363,108788,Micha Teodor Joachimowski,M,25.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,
1364,108868,Marian Gerard Jochman,M,25.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 5,000 metres",
1365,109863,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,
1366,109864,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,
1367,109865,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,
1368,109866,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Horse Vault,
1369,109867,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,
1370,109868,Anita Jokiel,F,13.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Balance Beam,
1371,109869,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,
1372,109870,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,
1373,109871,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1374,109872,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,
1375,109873,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,
1376,109874,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,
1377,109875,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,
1378,109876,Jerzy Pawe Jokiel,M,20.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,
1379,109877,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,
1380,109878,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,
1381,109879,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,
1382,109880,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horse Vault,
1383,109881,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,
1384,109882,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,
1385,109883,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,
1386,109884,Jerzy Pawe Jokiel,M,29.0,Poland,POL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,
1387,110868,Zygfryd Jzefiak,M,25.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,
1388,110869,Lucjan Jzefowicz,M,29.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",
1389,110872,Bogna Jwiak,F,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Individual",
1390,110873,Bogna Jwiak,F,25.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",
1391,110874,Bogna Jwiak,F,33.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",
1392,110875,Bogna Jwiak,F,33.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",
1393,110876,"Jarosawa Jwiakowska-Bieda (-Ringer, -Zdunkiewicz)",F,23.0,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's High Jump,Silver
1394,110877,"Jarosawa Jwiakowska-Bieda (-Ringer, -Zdunkiewicz)",F,27.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's High Jump,
1395,110880,Joanna Jwik,F,25.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,
1396,110881,Marek Jan Jwik,M,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,
1397,110882,"Urszula Bronisawa Jwik (Styranka-, -Szubzda)",F,21.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,
1398,110883,"Urszula Bronisawa Jwik (Styranka-, -Szubzda)",F,25.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,
1399,111208,"Sylwia Maria Julito (-Gembalczyk, -Kozowska)",F,31.0,Poland,POL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Individual",
1400,111209,"Sylwia Maria Julito (-Gembalczyk, -Kozowska)",F,31.0,Poland,POL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Team",
1401,111365,Mariusz Jurasik,M,32.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
1402,111366,Pawe Juraszek,M,21.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
1403,111399,Bartosz Jurecki,M,29.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
1404,111400,Bartosz Jurecki,M,37.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
1405,111401,Marcin Jurecki,M,23.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",
1406,111402,Micha Jurecki,M,23.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,
1407,111403,Micha Jurecki,M,31.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
1408,111452,Andrzej Robert Henryk Jurkiewicz,M,41.0,Poland,POL,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",
1409,111454,Edward Jurkiewicz,M,20.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,
1410,111455,Mariusz Jurkiewicz,M,34.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
1411,111466,Katarzyna Iwona Jurkowska-Kowalska,F,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,
1412,111467,Katarzyna Iwona Jurkowska-Kowalska,F,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
1413,111468,Katarzyna Iwona Jurkowska-Kowalska,F,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
1414,111469,Katarzyna Iwona Jurkowska-Kowalska,F,24.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,
